"shock","response","horizon","q10","median","q90"
"unemployment","inflation",13,-1.12783904131476,-0.579825668155836,-0.121215329778701
"unemployment","inflation",14,-1.0690840414479,-0.523489173638943,-0.0641965869445338
"unemployment","inflation",15,-1.00962611483886,-0.470529663288783,-0.0188393838416192
"unemployment","inflation",16,-0.968990008853385,-0.423395371835004,0.0157485727773041
"unemployment","inflation",17,-0.917014467595726,-0.38183530890727,0.0330107413289012
"unemployment","inflation",18,-0.855395263332843,-0.347787939007628,0.0458628021788704
"unemployment","inflation",19,-0.812054976945075,-0.316864791000056,0.049507267634155
"unemployment","inflation",20,-0.769425790146051,-0.290731317723272,0.0524743802411164
"unemployment","inflation",21,-0.733147661038382,-0.263939843766981,0.0531519146522279
"unemployment","inflation",22,-0.692635592306005,-0.240439941951041,0.0510668311072195
"unemployment","inflation",23,-0.652490569277753,-0.220507838781155,0.0506309232534612
"unemployment","inflation",24,-0.616383015695473,-0.202393849171877,0.0469424770909756
"unemployment","unemployment",1,1,1,1
"unemployment","unemployment",2,1.19526645876466,1.28161971554479,1.36781930491915
"unemployment","unemployment",3,1.22173127479242,1.35561568343033,1.50445406376895
"unemployment","unemployment",4,1.00675703025045,1.17412948802893,1.37061311855749
"unemployment","unemployment",5,0.745495123565572,0.933291832892893,1.15618399760346
"unemployment","unemployment",6,0.503939511248807,0.693258773201804,0.926920512435647
"unemployment","unemployment",7,0.298421456188418,0.486892437410642,0.70179381651627
"unemployment","unemployment",8,0.119381394693756,0.305056019044223,0.51671257185547
"unemployment","unemployment",9,-0.0364838053983478,0.154161961926365,0.36583513460344
"unemployment","unemployment",10,-0.164435378975513,0.0269520336597966,0.245075221896921
"unemployment","unemployment",11,-0.268009346889792,-0.0697703855551877,0.140765386965204
"unemployment","unemployment",12,-0.343007228631369,-0.142810948853906,0.0617632388558142
"unemployment","unemployment",13,-0.395595755162796,-0.194701052700527,0.0038372651096047
"unemployment","unemployment",14,-0.43368211676358,-0.226489796324261,-0.0403378571680937
"unemployment","unemployment",15,-0.455576631402909,-0.246279270176791,-0.0638593759885762
"unemployment","unemployment",16,-0.469980997680194,-0.252197821843024,-0.0753880078227314
"unemployment","unemployment",17,-0.471593898484833,-0.254166110951806,-0.0752604680586351
"unemployment","unemployment",18,-0.474104014280287,-0.248985198377349,-0.0679664718458348
"unemployment","unemployment",19,-0.474189724434196,-0.24052185497988,-0.0583196170144472
"unemployment","unemployment",20,-0.470100681008685,-0.234312794922977,-0.0417980032456011
"unemployment","unemployment",21,-0.469663267137697,-0.22340935246587,-0.0285464634279207
"unemployment","unemployment",22,-0.465228790224533,-0.213321603610435,-0.019408365038306
"unemployment","unemployment",23,-0.456561351353127,-0.20328349520029,-0.00857991024953566
"unemployment","unemployment",24,-0.447701043482867,-0.195780665151549,-0.00362017035877734
"unemployment","tbill_rate",1,-0.556812995762316,-0.448997896434564,-0.346703920412984
"unemployment","tbill_rate",2,-1.30290672536118,-1.06891612607135,-0.839923297767755
"unemployment","tbill_rate",3,-1.39717283752008,-1.0788902436515,-0.783421181292069
"unemployment","tbill_rate",4,-1.57934809026462,-1.24073484929267,-0.918452195074732
"unemployment","tbill_rate",5,-1.59923132188839,-1.21447432087088,-0.863914225389321
"unemployment","tbill_rate",6,-1.50572685509471,-1.08474465711599,-0.727012089396319
"unemployment","tbill_rate",7,-1.40758742783207,-0.95717121179759,-0.573703472870013
"unemployment","tbill_rate",8,-1.29574201258049,-0.824636812105825,-0.417386436457425
"unemployment","tbill_rate",9,-1.19715927843042,-0.695084217850721,-0.269801741145386
"unemployment","tbill_rate",10,-1.10230182284113,-0.577458808341528,-0.146878554551632
"unemployment","tbill_rate",11,-1.01859568814036,-0.478319252232646,-0.0362915368440348
"unemployment","tbill_rate",12,-0.949834002223643,-0.3971793799898,0.0503118961718736
"unemployment","tbill_rate",13,-0.889946484307107,-0.33709878475991,0.111286176019424
"unemployment","tbill_rate",14,-0.841326903064092,-0.292545652673504,0.138344262972665
"unemployment","tbill_rate",15,-0.80346691843355,-0.263569481233218,0.150095136061155
"unemployment","tbill_rate",16,-0.781785228409781,-0.242534124734935,0.148037422527753
"unemployment","tbill_rate",17,-0.753402051149343,-0.230697283802183,0.129808256952224
"unemployment","tbill_rate",18,-0.734152036599507,-0.227082501965508,0.11381422725184
"unemployment","tbill_rate",19,-0.717200340858023,-0.228485393294679,0.0932794943145
"unemployment","tbill_rate",20,-0.708103656698154,-0.229585090870004,0.0759130337912944
"unemployment","tbill_rate",21,-0.699749520997915,-0.235616105931894,0.0563839510190852
"unemployment","tbill_rate",22,-0.688797741507221,-0.237831020415295,0.0375894985653136
"unemployment","tbill_rate",23,-0.685778430145016,-0.242421380719346,0.0198469009471494
"unemployment","tbill_rate",24,-0.673453152512953,-0.242900791808832,0.00926277484581518
"tbill_rate","inflation",1,0,0,0
"tbill_rate","inflation",2,-0.0973130664588466,-0.0573869542795507,-0.016896630405739
"tbill_rate","inflation",3,-0.135520433646629,-0.0629885710067874,0.0112696950044611
"tbill_rate","inflation",4,-0.151381684983808,-0.0456296408648199,0.0573370911878419
"tbill_rate","inflation",5,-0.167574769947537,-0.0438135724431485,0.0691497675016504
"tbill_rate","inflation",6,-0.187996367509028,-0.0528371667350353,0.068331366446892
"tbill_rate","inflation",7,-0.21323355331844,-0.0713657629543397,0.0620956476197846
"tbill_rate","inflation",8,-0.245098552839044,-0.0901325595982757,0.0522574958725374
"tbill_rate","inflation",9,-0.270159357439859,-0.107969574616902,0.044242580678203
"tbill_rate","inflation",10,-0.290213853016108,-0.122813711213564,0.0370413722310769
"tbill_rate","inflation",11,-0.310413911368125,-0.135379173193425,0.0323036456763065
"tbill_rate","inflation",12,-0.324417061499867,-0.143031060584471,0.0257891072856588
"tbill_rate","inflation",13,-0.336418824392623,-0.150179433227401,0.023873306422648
"tbill_rate","inflation",14,-0.34849139736515,-0.15544103811362,0.0208774482082783
"tbill_rate","inflation",15,-0.353392881331388,-0.159393131736083,0.0152351457722469
"tbill_rate","inflation",16,-0.358044567447215,-0.160774403492907,0.0132529265760616
"tbill_rate","inflation",17,-0.360700947244389,-0.16074287252359,0.0137233256156386
"tbill_rate","inflation",18,-0.359435094591052,-0.159566786683686,0.0122136930527437
"tbill_rate","inflation",19,-0.362155219082109,-0.156840985186514,0.0147269469384522
"tbill_rate","inflation",20,-0.360449305941721,-0.155843464828719,0.0153678628944981
"tbill_rate","inflation",21,-0.358441190439058,-0.151840804424488,0.0142501604633498
"tbill_rate","inflation",22,-0.356481047560837,-0.148131811512204,0.0151774699815842
"tbill_rate","inflation",23,-0.352125161547564,-0.143491982937553,0.0156383482466567
"tbill_rate","inflation",24,-0.348680511672638,-0.139505081485566,0.0162046471285899
"tbill_rate","unemployment",1,0,0,0
"tbill_rate","unemployment",2,-0.0604940426695584,-0.0210596859573705,0.0208149612379909
"tbill_rate","unemployment",3,-0.132826393641021,-0.0651310890774167,0.000981542282547622
"tbill_rate","unemployment",4,-0.100436878532269,-0.0156825159683522,0.070194541879904
"tbill_rate","unemployment",5,-0.0490377967107262,0.0333848565740941,0.113381772988516
"tbill_rate","unemployment",6,-0.00811580335641596,0.0642216489310998,0.135314557671382
"tbill_rate","unemployment",7,0.0157030246438774,0.0844909813411741,0.152199939334543
"tbill_rate","unemployment",8,0.0294459060376089,0.0956229204173479,0.162848316744722
"tbill_rate","unemployment",9,0.0344144716925133,0.100146352182868,0.168160440525454
"tbill_rate","unemployment",10,0.0346741625820157,0.101450372415946,0.169303014348292
"tbill_rate","unemployment",11,0.030410662394501,0.0984331371724334,0.166357617598784
"tbill_rate","unemployment",12,0.0246374541877785,0.0926132867533548,0.160026198686805
"tbill_rate","unemployment",13,0.0162036092019727,0.0849368674168879,0.152017160974771
"tbill_rate","unemployment",14,0.0071380373683938,0.0760128880149136,0.142192090246605
"tbill_rate","unemployment",15,-0.00453665362883087,0.0659304073865851,0.134405356784528
"tbill_rate","unemployment",16,-0.0150537546464389,0.0557946150112295,0.125265175990257
"tbill_rate","unemployment",17,-0.0259642316951371,0.0460933004994807,0.11575085583837
"tbill_rate","unemployment",18,-0.0372856258398433,0.0368891015247498,0.106515063223573
"tbill_rate","unemployment",19,-0.0466372824441357,0.0279676720944192,0.0998761203820047
"tbill_rate","unemployment",20,-0.0568846913974819,0.0201934688131579,0.0935539179427713
"tbill_rate","unemployment",21,-0.0657430624611933,0.0130010377334034,0.0880763013671608
"tbill_rate","unemployment",22,-0.0744746969153578,0.00722172302932268,0.0837107957439639
"tbill_rate","unemployment",23,-0.0821823415600852,0.000848308500036768,0.0794959570340823
"tbill_rate","unemployment",24,-0.089115427449946,-0.00383736439772859,0.0747995920727193
"tbill_rate","tbill_rate",1,1,1,1
"tbill_rate","tbill_rate",2,0.674679424407084,0.773098266972348,0.871736991605905
"tbill_rate","tbill_rate",3,0.417971847330074,0.553987474413248,0.697266903160789
"tbill_rate","tbill_rate",4,0.393342255115599,0.544912121080979,0.709385503284871
"tbill_rate","tbill_rate",5,0.356735879949469,0.491770329715512,0.635930372072386
"tbill_rate","tbill_rate",6,0.291236817771791,0.432069750038181,0.578904185331671
"tbill_rate","tbill_rate",7,0.223087561260049,0.372460200962528,0.535168663106724
"tbill_rate","tbill_rate",8,0.161853434932386,0.31662396723714,0.489598597101259
"tbill_rate","tbill_rate",9,0.11805812426064,0.272195895948723,0.446607371948365
"tbill_rate","tbill_rate",10,0.0787233466370086,0.236880888871169,0.414316940606298
"tbill_rate","tbill_rate",11,0.0451048963376728,0.206441875850733,0.387343996658711
"tbill_rate","tbill_rate",12,0.0160360938769715,0.17968738382812,0.363789652516935
"tbill_rate","tbill_rate",13,-0.00631634913569506,0.157677093641789,0.341077065334536
"tbill_rate","tbill_rate",14,-0.0253287142954811,0.138152500462452,0.326314430790846
"tbill_rate","tbill_rate",15,-0.0459603614293271,0.122135528000982,0.308958781432362
"tbill_rate","tbill_rate",16,-0.0619213591583028,0.109489772599454,0.291813263022265
"tbill_rate","tbill_rate",17,-0.0738942261843775,0.0978553512008617,0.279482460484088
"tbill_rate","tbill_rate",18,-0.08758294534903,0.0857425886428445,0.26603191595385
"tbill_rate","tbill_rate",19,-0.0990742719254938,0.0757261099442964,0.257983085343574
