quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds
2003:Q1,9.520343955494644,4.407292253796356,1.13,7.704669957019949,1.531988202716777,5.7
2003:Q2,9.528903188053828,4.410213136518509,0.92,7.7115476367455225,1.5466408680458308,4.970000000000001
2003:Q3,9.545747756128907,4.415678988635725,0.94,7.747337305880717,1.562164486199918,5.78
2003:Q4,9.55715890065154,4.421199269748354,0.9,7.780471063770387,1.5736059671368194,5.619999999999999
2004:Q1,9.562482056202272,4.428719362665864,0.94,7.782453302745937,1.5875853323522535,5.11
2004:Q2,9.570075628378174,4.436929033402141,1.27,7.821621073069788,1.5798504262209159,5.75
2004:Q3,9.579487217410236,4.443356889825488,1.65,7.837015541710955,1.5764269067644976,4.659999999999999
2004:Q4,9.589454660094352,4.451016172821944,2.19,7.8576652960318665,1.5794481090701311,3.99
2005:Q1,9.60046169734967,4.458617236835594,2.74,7.88539056169692,1.5866676681044192,3.4299999999999997
2005:Q2,9.605068039541607,4.46564371588716,2.97,7.871995059482441,1.5794932106136723,2.8200000000000003
2005:Q3,9.613943748136398,4.474993161176142,3.42,7.885125305763838,1.590653072617817,2.41
2005:Q4,9.620235652363663,4.48287825050346,3.89,7.917115864821873,1.5828888604429274,2.16
2006:Q1,9.633448915256942,4.489770557758339,4.51,7.931853410450445,1.5935517389303875,1.8200000000000003
2006:Q2,9.63578456239966,4.498085963378417,4.79,7.925384529115301,1.5958453248002555,1.79
2006:Q3,9.637332110628627,4.5054050977985165,4.81,7.921518941137942,1.587427255048596,1.1799999999999997
2006:Q4,9.645810784570674,4.509154757554404,4.85,7.9019277391410165,1.6030380779688338,0.9799999999999995
2007:Q1,9.648162951392374,4.519361721572578,4.94,7.895023631425074,1.608894324195625,1.0099999999999998
2007:Q2,9.653878098531614,4.52546658747721,4.61,7.905992750863104,1.613402131289155,1.4500000000000002
2007:Q3,9.659292719681398,4.529638123375655,3.89,7.895847840191325,1.6078436763083175,1.6499999999999995
2007:Q4,9.665357258913595,4.5342110970475975,3,7.8834674620943845,1.620041496231829,2.41
2008:Q1,9.65959267405229,4.538699132044649,1.26,7.856804736421575,1.5926998743799858,4.279999999999999
2008:Q2,9.664741665338214,4.5426030537192625,1.86,7.838502214603919,1.5924523274363815,5.07
2008:Q3,9.659311868393488,4.550228137723799,1.13,7.8182488396835925,1.5701867155209728,5.5
2008:Q4,9.637436500210642,4.552781555096371,0.03,7.717102465089438,1.5102878073682011,8.27
2009:Q1,9.626145174069746,4.553445219496174,0.21,7.594303232463312,1.4750263069507754,8.24
2009:Q2,9.624705754871066,4.552359952155769,0.18,7.534915957252271,1.4875174169425622,7.29
2009:Q3,9.628339927975123,4.552950146515467,0.12,7.532630578079347,1.514435945566838,6.159999999999999
2009:Q4,9.639268068212013,4.5567044691799214,0.05,7.621065806084976,1.5237569671636302,6.25
2010:Q1,9.643102827487013,4.559032002208041,0.15,7.643564839513651,1.5308127298803558,6.109999999999999
2010:Q2,9.652285260824824,4.563431104405352,0.12,7.694714244586192,1.55122823944297,6.050000000000001
