quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds,spread_baa_10y,credit_real_estate_ratio,mortgage_rate,cpi,pce,employment,industrial_production,treasury_1y,djia
2005:Q3,9.613943748136398,4.474993161176142,3.42,7.885125305763838,1.590653072617817,2.41,1.6900000000000004,-0.22328294286923367,5.91,5.292299294222474,4.476256685894753,11.866402300407264,4.5857620608656955,4.01,2.069379171535326
2005:Q4,9.620235652363663,4.48287825050346,3.89,7.917115864821873,1.5828888604429274,2.16,1.9300000000000006,-0.23385660242661258,6.22,5.288771953704505,4.475642197607591,11.868864137927991,4.614562935679197,4.38,2.066744661659665
2006:Q1,9.633448915256942,4.489770557758339,4.51,7.931853410450445,1.5935517389303875,1.8200000000000003,1.5499999999999998,-0.20662120522752137,6.35,5.296816240421769,4.482697420720302,11.87576834800394,4.617840576498782,4.82,2.070537164678704
2006:Q2,9.63578456239966,4.498085963378417,4.79,7.925384529115301,1.5958453248002555,1.79,1.63,-0.19906413083296123,6.78,5.307277107919509,4.491833500649088,11.880016967694656,4.624671787588426,5.21,2.0739455292699898
2006:Q3,9.637332110628627,4.5054050977985165,4.81,7.921518941137942,1.587427255048596,1.1799999999999997,1.79,-0.19049121919799447,6.31,5.312220271717028,4.495868581097003,11.883212344728781,4.626199511562582,4.91,2.067637605063802
2006:Q4,9.645810784570674,4.509154757554404,4.85,7.9019277391410165,1.6030380779688338,0.9799999999999995,1.5099999999999998,-0.17063853351084715,6.18,5.313698468586339,4.497462473373027,11.891156400124624,4.635012443198112,5,2.0815295199027943
2007:Q1,9.648162951392374,4.519361721572578,4.94,7.895023631425074,1.608894324195625,1.0099999999999998,1.6199999999999992,-0.14572171727479316,6.16,5.324413871269311,4.507722723822127,11.893551283064747,4.642004399869817,4.9,2.087116425106149
2007:Q2,9.653878098531614,4.52546658747721,4.61,7.905992750863104,1.613402131289155,1.4500000000000002,1.67,-0.1181512011903663,6.67,5.333848589587692,4.514720176399347,11.891793314467481,4.649777327791295,4.91,2.0916250312187965
2007:Q3,9.659292719681398,4.529638123375655,3.89,7.895847840191325,1.6078436763083175,1.6499999999999995,2,-0.08998489220977862,6.42,5.34016443549993,4.520711910695257,11.893031738611503,4.655493460058018,4.05,2.0986018726878783
2007:Q4,9.665357258913595,4.5342110970475975,3,7.8834674620943845,1.620041496231829,2.41,2.6100000000000003,-0.05498255372593766,6.17,5.353964917386851,4.531039136645016,11.89323001768653,4.657247323090658,3.34,2.098021792540836
2008:Q1,9.65959267405229,4.538699132044649,1.26,7.856804736421575,1.5926998743799858,4.279999999999999,3.4399999999999995,-0.007311060809089563,5.85,5.363393243284224,4.538891484948703,11.891950768369753,4.648819539758551,1.55,2.0823738680167967
2008:Q2,9.664741665338214,4.5426030537192625,1.86,7.838502214603919,1.5924523274363815,5.07,3.08,0.025426196678962135,6.45,5.382028721115022,4.5525707758447,11.88955890640969,4.633218138733248,2.36,2.0773555045706082
2008:Q3,9.659311868393488,4.550228137723799,1.13,7.8182488396835925,1.5701867155209728,5.5,3.4599999999999995,0.05524563873172907,6.09,5.3885099281999045,4.557103260218705,11.88501302202144,4.568159668551806,1.78,2.0568473384356394
2008:Q4,9.637436500210642,4.552781555096371,0.03,7.717102465089438,1.5102878073682011,8.27,6.18,0.07027709446237747,5.1,5.353742612653447,4.534093000970934,11.873177005256094,4.53530657837759,0.37,2.0140894162274487
2009:Q1,9.626145174069746,4.553445219496174,0.21,7.594303232463312,1.4750263069507754,8.24,5.71,0.09092407216700317,4.85,5.358918458675886,4.535648603329446,11.85443499310871,4.488816128855399,0.57,1.9797800765445408
2009:Q2,9.624705754871066,4.552359952155769,0.18,7.534915957252271,1.4875174169425622,7.29,3.97,0.11958142495922038,5.42,5.369660806616172,4.544358046591334,11.84946198523949,4.466760628727804,0.56,1.9721628532256161
2009:Q3,9.628339927975123,4.552950146515467,0.12,7.532630578079347,1.514435945566838,6.159999999999999,2.9999999999999996,0.13406733393221162,5.04,5.374634682018732,4.5489807143367145,11.840919001643847,4.496388268448737,0.4,1.9973782860906648
2009:Q4,9.639268068212013,4.5567044691799214,0.05,7.621065806084976,1.5237569671636302,6.25,2.52,0.13518155211160401,5.14,5.3814951547170455,4.555717302268561,11.835103162601078,4.506599897800633,0.47,2.0187039501004462
2010:Q1,9.643102827487013,4.559032002208041,0.15,7.643564839513651,1.5308127298803558,6.109999999999999,2.4299999999999997,0.13531488616203116,4.99,5.381522759962044,4.5587911128012975,11.840436238789916,4.528281582228313,0.41,2.0276142412912024
2010:Q2,9.652285260824824,4.563431104405352,0.12,7.694714244586192,1.55122823944297,6.050000000000001,3.2600000000000002,0.12901589546175543,4.69,5.380813983997617,4.558853959110668,11.843243086457699,4.54796153559219,0.32,2.0333866246826546
2010:Q3,9.659630959624376,4.566959362724312,0.15,7.738345192890718,1.533737962414464,5.47,3.1300000000000003,0.1329376627265506,4.32,5.385755735696871,4.561980808092507,11.845074082492276,4.557698002899897,0.27,2.021616286640888
2010:Q4,9.66463373876627,4.572450694025161,0.14,7.735154467461025,1.5475352482851936,5.92,2.8,0.14216107789575627,4.86,5.395770702696749,4.56908694581501,11.844392338493027,4.564971955220105,0.29,2.0343302341297296
2011:Q1,9.662230945794992,4.577552298951419,0.1,7.716122658380344,1.5640204077365578,5.890000000000001,2.56,0.15853481779504217,4.86,5.407378028214637,4.57929837842052,11.846815799921488,4.569172991710699,0.3,2.0483387065403305
2011:Q2,9.669352566107735,4.584712344085695,0.04,7.7562197443353575,1.5743388749518543,5.66,2.57,0.1642120172514857,4.51,5.415237808054813,4.586354271730451,11.844987993102741,4.570738148802263,0.19,2.055432629072337
2011:Q3,9.66907448813035,4.590249422977519,0.01,7.759522849600757,1.5607350971533203,5.1899999999999995,3.3499999999999996,0.16926585181210285,4.01,5.423173109318271,4.5920748146758505,11.850703990881103,4.58138351291057,0.13,2.0453837721390276
2011:Q4,9.680600218395496,4.591841755776759,0.01,7.833770177522407,1.5535237778268696,5.18,3.3600000000000003,0.1726042188801501,3.95,5.42593191411771,4.594766252272699,11.85581989225019,4.592972090804402,0.12,2.0360655218477794
2012:Q1,9.688398972659266,4.5979844301733666,0.08,7.854442132351122,1.5614712336934495,5.1000000000000005,3.0000000000000004,0.18636422250476414,3.99,5.4328788534432375,4.60253672146229,11.863835825579107,4.596685290859296,0.19,2.0514432092609947
