"quarter","inflation_author","unemployment_author","tbill_rate_author","inflation_fred","unemployment_fred","tbill_rate_fred","inflation_diff","unemployment_diff","tbill_rate_diff"
"1973Q2",5.1785655,5,6.26,4.93116968814618,4.93333333333333,6.60333333333333,-0.247395811853825,-0.0666666666666664,0.343333333333334
"1973Q3",6.2219138,4.8,8.01,5.92510061544402,4.8,8.32333333333333,-0.296813184555977,0,0.313333333333333
"1973Q4",6.8027433,4.6,7.22,6.51368944150983,4.76666666666667,7.5,-0.289053858490171,0.166666666666667,0.28
"1974Q1",7.5616438,5.1,7.77,7.25610160780974,5.13333333333333,7.61666666666667,-0.30554219219026,0.0333333333333332,-0.153333333333333
"1974Q2",8.1415256,5.1,8.33,7.81270333785629,5.2,8.15333333333333,-0.328822262143714,0.100000000000001,-0.176666666666666
"1974Q3",9.3850126,5.5,7.55,8.95308797226377,5.63333333333333,8.19,-0.431924627736226,0.133333333333334,0.640000000000001
"1974Q4",10.815522,6,7.46,10.2263198565997,6.6,7.36,-0.58920214340028,0.6,-0.0999999999999996
"1975Q1",11.105451,8.1,6.26,10.4578896356643,8.26666666666667,5.75,-0.647561364335726,0.166666666666666,-0.51
"1975Q2",10.296101,8.8,5.61,9.69858766009546,8.86666666666667,5.39333333333333,-0.597513339904541,0.0666666666666664,-0.216666666666667
"1975Q3",8.9864634,8.6,6.13,8.41701484588842,8.46666666666667,6.33,-0.569448554111585,-0.133333333333333,0.2
"1975Q4",7.6296909,8.4,5.96,7.08273406893376,8.3,5.62666666666667,-0.54695683106624,-0.0999999999999996,-0.333333333333333
"1976Q1",6.3813146,7.9,4.87,5.93298874301862,7.73333333333333,4.91666666666667,-0.448325856981381,-0.166666666666667,0.0466666666666669
"1976Q2",5.9645952,7.7,4.86,5.49041133543171,7.56666666666667,5.15666666666667,-0.474183864568289,-0.133333333333334,0.296666666666667
"1976Q3",5.4300177,7.8,5.23,5.00452370613158,7.73333333333333,5.15,-0.425493993868419,-0.0666666666666664,-0.0800000000000001
"1976Q4",5.3608512,7.7,4.92,5.03451107903223,7.76666666666667,4.67333333333333,-0.326340120967767,0.0666666666666664,-0.246666666666667
"1977Q1",5.927541,7.5,4.62,5.54806955289147,7.5,4.63,-0.379471447108534,0,0.00999999999999979
"1977Q2",6.4867305,7.2,4.54,6.12392002834832,7.13333333333333,4.84,-0.362810471651683,-0.0666666666666664,0.3
"1977Q3",6.5115704,6.9,5.19,6.22466983697705,6.9,5.49666666666667,-0.286900563022952,0,0.306666666666667
"1977Q4",6.4872494,6.8,6.16,6.19588448295714,6.66666666666667,6.11,-0.291364917042863,-0.133333333333333,-0.0499999999999998
"1978Q1",6.4909887,6.4,6.44,6.22097432479176,6.33333333333333,6.39333333333333,-0.270014375208238,-0.0666666666666673,-0.0466666666666669
"1978Q2",6.8265335,6.1,6.29,6.62448252837202,6,6.47666666666667,-0.202050971627978,-0.0999999999999996,0.186666666666667
"1978Q3",7.1963008,6.2,7.01,7.00534127599002,6.03333333333333,7.31333333333333,-0.190959524009982,-0.166666666666667,0.303333333333334
"1978Q4",7.5682099,5.8,7.99,7.30609255922952,5.9,8.57,-0.262117340770485,0.100000000000001,0.58
"1979Q1",7.7225631,5.9,9.35,7.53088611761585,5.86666666666667,9.38333333333333,-0.191676982384147,-0.0333333333333332,0.0333333333333332
"1979Q2",8.2513782,5.8,9.46,7.94395818802425,5.7,9.37666666666667,-0.307420011975752,-0.0999999999999996,-0.0833333333333339
