"quarter","inflation","unemployment","tbill_rate"
"1995Q4",1.9748326905515,5.56666666666667,5.26
"1996Q1",1.86631538693316,5.53333333333333,4.93
"1996Q2",1.78527145860361,5.5,5.02
"1996Q3",1.8227709577757,5.26666666666667,5.09666666666667
"1996Q4",1.77347157389072,5.33333333333333,4.97666666666667
"1997Q1",1.76104443506224,5.23333333333333,5.06
"1997Q2",1.8507442845725,5,5.04666666666667
"1997Q3",1.66353577112055,4.86666666666667,5.04666666666667
"1997Q4",1.59922436624598,4.66666666666667,5.09
"1998Q1",1.25165659494781,4.63333333333333,5.05333333333333
"1998Q2",1.01421621839863,4.4,4.97666666666667
"1998Q3",1.1038129524529,4.53333333333333,4.82333333333333
"1998Q4",1.01473001537888,4.43333333333333,4.25333333333333
"1999Q1",1.18521594251471,4.3,4.40666666666667
"1999Q2",1.37690432066382,4.26666666666667,4.45333333333333
"1999Q3",1.37443659092344,4.23333333333333,4.65
"1999Q4",1.62955614644789,4.06666666666667,5.04333333333333
"2000Q1",2.02287637648491,4.03333333333333,5.52
"2000Q2",2.17125489723893,3.93333333333333,5.71333333333333
"2000Q3",2.41146043317517,4,6.01666666666667
"2000Q4",2.42901220512186,3.9,6.01666666666667
"2001Q1",2.44698674691088,4.23333333333333,4.81666666666667
"2001Q2",2.51194878414704,4.4,3.66
"2001Q3",2.18984378534763,4.83333333333333,3.17
"2001Q4",1.97114562007226,5.5,1.90666666666667
"2002Q1",1.55202287590974,5.7,1.72
"2002Q2",1.28318274734687,5.83333333333333,1.71333333333333
"2002Q3",1.42885255027858,5.73333333333333,1.64333333333333
"2002Q4",1.68621517168788,5.86666666666667,1.33333333333333
"2003Q1",1.95939725147571,5.86666666666667,1.15666666666667
"2003Q2",1.90875363065279,6.13333333333333,1.04
"2003Q3",2.03124417536831,6.13333333333333,0.93
"2003Q4",2.02991889327855,5.83333333333333,0.916666666666667
"2004Q1",2.2099132385053,5.7,0.916666666666667
"2004Q2",2.67289375858137,5.6,1.07666666666667
"2004Q3",2.73229867851787,5.43333333333333,1.48666666666667
"2004Q4",2.92337199784232,5.43333333333333,2.00666666666667
"2005Q1",2.97235582090911,5.3,2.53666666666667
"2005Q2",2.89088785307969,5.1,2.86333333333333
"2005Q3",3.20319146376118,4.96666666666667,3.36
"2005Q4",3.2262649360626,4.96666666666667,3.82666666666667
"2006Q1",3.15876828693593,4.73333333333333,4.39333333333333
"2006Q2",3.31408201778158,4.63333333333333,4.70333333333333
"2006Q3",3.10258011066349,4.63333333333333,4.90666666666667
