"rep","lags","lambda_min","best_lambda","best_log_mdd"
45,5,0.24,10,-231.412321155334
46,5,0.24,10,-202.420745357627
47,5,0.24,10,-186.078420092048
48,5,0.24,10,-195.301254152227
49,5,0.24,5,-223.628970696744
50,5,0.24,10,-191.786495310169
51,5,0.24,10,-197.950874338962
52,5,0.24,10,-207.577568605368
53,5,0.24,10,-185.347842802475
54,5,0.24,10,-191.03366292942
55,5,0.24,10,-198.312235997534
56,5,0.24,10,-202.14469404179
57,5,0.24,10,-210.359558036484
58,5,0.24,5,-202.001115412046
59,5,0.24,10,-193.343994942647
60,5,0.24,5,-217.700105664958
61,5,0.24,10,-197.976625323272
62,5,0.24,10,-216.021070430882
63,5,0.24,10,-190.917396850856
64,5,0.24,10,-202.485567362246
65,5,0.24,10,-221.553318556311
66,5,0.24,5,-187.880176198113
67,5,0.24,10,-201.754705483274
68,5,0.24,10,-186.618892076521
69,5,0.24,10,-207.715183473219
70,5,0.24,10,-208.598168558549
71,5,0.24,10,-216.48782745385
72,5,0.24,10,-203.715020388156
73,5,0.24,10,-204.357035304645
74,5,0.24,10,-202.016702038158
75,5,0.24,10,-202.558848594745
76,5,0.24,5,-212.06567807444
77,5,0.24,10,-204.018859034567
78,5,0.24,10,-210.799209932497
79,5,0.24,10,-223.081350230804
80,5,0.24,10,-204.747352705391
81,5,0.24,10,-199.951130413488
82,5,0.24,10,-189.832484476198
83,5,0.24,10,-189.30561225512
84,5,0.24,10,-196.815591033561
85,5,0.24,10,-211.953511303042
86,5,0.24,10,-206.764402029242
87,5,0.24,10,-192.391223846435
88,5,0.24,10,-186.007320758797
89,5,0.24,10,-193.760121546952
90,5,0.24,10,-189.739527301376
91,5,0.24,10,-212.166680990578
92,5,0.24,10,-201.957452432952
93,5,0.24,10,-187.421124832156
94,5,0.24,10,-202.922439758623
95,5,0.24,10,-186.028893090571
96,5,0.24,10,-211.791037124402
97,5,0.24,10,-192.535234870386
98,5,0.24,5,-239.052382115035
99,5,0.24,10,-191.014884494805
100,5,0.24,10,-198.361220150633
1,6,0.28,10,-196.807374446325
2,6,0.28,5,-190.100830586121
3,6,0.28,10,-201.255768344342
4,6,0.28,10,-192.070673332109
5,6,0.28,5,-230.428234848077
6,6,0.28,10,-187.168082392909
7,6,0.28,10,-195.273320814268
8,6,0.28,5,-204.849938710331
9,6,0.28,5,-193.901746312593
10,6,0.28,5,-206.782029073852
11,6,0.28,10,-183.543529771017
12,6,0.28,5,-192.311747921939
13,6,0.28,10,-183.210658681895
14,6,0.28,10,-204.630053894959
15,6,0.28,10,-190.385850598546
16,6,0.28,10,-198.692610821988
17,6,0.28,10,-195.319973912769
18,6,0.28,5,-221.287170726131
19,6,0.28,10,-183.883605416639
20,6,0.28,10,-177.811031480004
21,6,0.28,10,-199.215851855353
22,6,0.28,10,-198.983268865067
23,6,0.28,10,-189.77372259627
24,6,0.28,10,-194.214452247029
25,6,0.28,10,-197.13982167733
26,6,0.28,10,-197.043246828784
27,6,0.28,10,-204.549038766925
28,6,0.28,10,-190.472565923282
29,6,0.28,10,-186.334935534519
30,6,0.28,5,-206.529718687224
31,6,0.28,10,-204.816870946411
32,6,0.28,10,-192.697340635437
33,6,0.28,5,-206.729272867954
34,6,0.28,10,-201.161488705308
35,6,0.28,10,-206.331594803704
36,6,0.28,10,-190.37338580182
37,6,0.28,10,-202.826740547645
38,6,0.28,5,-197.991644048363
39,6,0.28,10,-187.902326744165
40,6,0.28,10,-188.362858482362
41,6,0.28,5,-206.700042471269
42,6,0.28,10,-187.774435211865
43,6,0.28,10,-182.835317648247
44,6,0.28,10,-199.860586968998
45,6,0.28,10,-182.335530517426
46,6,0.28,10,-186.947696270364
47,6,0.28,10,-172.370032059939
48,6,0.28,10,-202.736592164659
49,6,0.28,10,-190.726830093751
50,6,0.28,10,-189.500863120847
51,6,0.28,10,-188.363866450934
52,6,0.28,10,-194.019159253678
53,6,0.28,10,-219.184188231119
54,6,0.28,10,-205.835623933971
55,6,0.28,10,-192.267241981155
56,6,0.28,10,-209.948057558115
57,6,0.28,10,-193.695117272883
58,6,0.28,10,-199.516813166475
59,6,0.28,10,-206.638640653641
60,6,0.28,10,-194.564833802312
61,6,0.28,10,-187.130297763387
62,6,0.28,5,-191.837305584633
63,6,0.28,10,-183.173551850543
64,6,0.28,10,-214.230861397368
65,6,0.28,10,-204.538596371557
66,6,0.28,10,-189.291635586902
67,6,0.28,10,-198.150150532509
68,6,0.28,10,-198.966197617076
69,6,0.28,10,-192.890491424906
70,6,0.28,10,-200.933992949499
71,6,0.28,10,-201.080653785801
72,6,0.28,10,-193.199466422496
73,6,0.28,10,-209.980584391052
74,6,0.28,10,-217.177832390368
75,6,0.28,10,-193.136139894371
76,6,0.28,10,-189.476267162971
77,6,0.28,10,-192.201421503224
78,6,0.28,10,-189.843530202379
79,6,0.28,10,-192.610774893124
80,6,0.28,10,-215.482130311153
81,6,0.28,10,-213.122919897527
82,6,0.28,10,-196.490302969307
83,6,0.28,5,-196.95865847641
84,6,0.28,10,-204.275920252837
85,6,0.28,10,-209.771602765952
86,6,0.28,10,-196.090550233393
87,6,0.28,5,-216.540670255422
88,6,0.28,10,-193.45224052008
89,6,0.28,5,-211.728686441029
90,6,0.28,10,-195.38104230201
91,6,0.28,5,-210.525063399235
92,6,0.28,5,-207.115506897519
93,6,0.28,10,-206.740553641181
94,6,0.28,10,-185.425825461575
95,6,0.28,10,-217.98646965596
96,6,0.28,10,-210.147208129908
97,6,0.28,10,-206.541247910832
98,6,0.28,10,-208.091466832001
99,6,0.28,10,-202.552697468179
100,6,0.28,5,-201.220661036311
1,7,0.31,10,-217.452559287741
2,7,0.31,10,-195.428359759404
3,7,0.31,10,-194.610879389784
4,7,0.31,10,-214.125849246343
5,7,0.31,10,-201.426819368459
6,7,0.31,10,-193.348440283079
7,7,0.31,10,-189.155936624043
8,7,0.31,10,-182.167173884046
9,7,0.31,5,-205.992298173996
10,7,0.31,10,-209.236121902091
11,7,0.31,10,-185.118873011802
12,7,0.31,5,-207.138148154465
13,7,0.31,10,-202.730315743144
14,7,0.31,10,-194.410967588072
15,7,0.31,10,-190.067437029771
16,7,0.31,10,-195.993281218389
17,7,0.31,10,-188.960134020977
18,7,0.31,10,-201.985631410651
19,7,0.31,10,-203.28542479967
20,7,0.31,10,-200.538911984997
21,7,0.31,5,-197.445024426522
22,7,0.31,10,-186.489984063766
23,7,0.31,10,-188.298064914
24,7,0.31,10,-191.082743878639
25,7,0.31,10,-209.06138430196
26,7,0.31,10,-195.49669593014
27,7,0.31,10,-191.373926016643
28,7,0.31,5,-191.520555880978
29,7,0.31,10,-189.966983295279
30,7,0.31,10,-187.785431330128
31,7,0.31,10,-181.072872848441
32,7,0.31,10,-220.997032210075
33,7,0.31,10,-190.033764205818
34,7,0.31,10,-191.956371454811
35,7,0.31,10,-194.977447344929
36,7,0.31,10,-191.84154322169
37,7,0.31,10,-203.816768235773
38,7,0.31,5,-194.49566979398
39,7,0.31,10,-210.37617892085
40,7,0.31,10,-196.929365927987
